month,aircraft_arrivals,aircraft_departures
1980-01,3245,3256
1980-02,3052,3060
1980-03,3196,3195
1980-04,3120,3127
1980-05,3147,3154
1980-06,3047,3047
1980-07,3137,3142
1980-08,3267,3286
1980-09,3121,3124
1980-10,3230,3231
1980-11,3162,3164
1980-12,3232,3229
1981-01,3144,3150
1981-02,2891,2893
1981-03,3127,3131
1981-04,2871,2881
1981-05,2938,2934
1981-06,2875,2882
1981-07,3002,3007
1981-08,3031,3038
1981-09,2923,2926
1981-10,2969,2975
1981-11,2874,2881
1981-12,3007,3015
1982-01,2979,2979
1982-02,2684,2691
1982-03,2959,2962
1982-04,2817,2821
1982-05,2798,2792
1982-06,2768,2777
1982-07,2864,2874
1982-08,2890,2887
1982-09,2817,2824
1982-10,2882,2872
1982-11,2730,2727
1982-12,2880,2885
1983-01,2836,2835
1983-02,2635,2647
1983-03,2823,2826
1983-04,2741,2743
1983-05,2839,2846
1983-06,2749,2749
1983-07,2822,2836
1983-08,2915,2913
1983-09,2840,2834
1983-10,2906,2909
1983-11,2774,2782
1983-12,2896,2898
1984-01,2878,2868
1984-02,2753,2759
1984-03,2894,2901
1984-04,2853,2849
1984-05,2966,2966
1984-06,2934,2941
1984-07,3002,2996
1984-08,3050,3062
1984-09,2948,2954
1984-10,2995,2993
1984-11,2961,2964
1984-12,3093,3094
1985-01,3052,3056
1985-02,2845,2843
1985-03,3085,3096
1985-04,3034,3027
1985-05,3078,3079
1985-06,3046,3058
1985-07,3075,3072
1985-08,3178,3196
1985-09,3072,3067
1985-10,3067,3070
1985-11,2969,2963
1985-12,3099,3096
1986-01,3065,3062
1986-02,2850,2846
1986-03,3110,3102
1986-04,3019,3026
1986-05,3130,3138
1986-06,3029,3020
1986-07,3123,3124
1986-08,3180,3178
1986-09,3002,3001
1986-10,3023,3016
1986-11,2928,2935
1986-12,3056,3059
1987-01,3077,3084
1987-02,2810,2809
1987-03,3172,3168
1987-04,3055,3058
1987-05,3206,3216
1987-06,3142,3146
1987-07,3256,3252
1987-08,3382,3381
1987-09,3157,3163
1987-10,3234,3230
1987-11,3199,3193
1987-12,3441,3445
1988-01,3361,3368
1988-02,3264,3252
1988-03,3357,3370
1988-04,3351,3347
1988-05,3489,3486
1988-06,3431,3425
1988-07,3565,3582
1988-08,3621,3619
1988-09,3402,3390
1988-10,3528,3520
1988-11,3533,3536
1988-12,3565,3568
1989-01,3481,3471
1989-02,3256,3260
1989-03,3573,3572
1989-04,3588,3602
1989-05,3683,3682
1989-06,3605,3604
1989-07,3670,3672
1989-08,3665,3678
1989-09,3628,3632
1989-10,3786,3776
1989-11,3790,3803
1989-12,3969,3975
1990-01,4031,4039
1990-02,3672,3686
1990-03,4066,4064
1990-04,3949,3942
1990-05,4117,4133
1990-06,3962,3968
1990-07,4059,4064
1990-08,4107,4107
1990-09,3995,4014
1990-10,4167,4170
1990-11,4212,4221
1990-12,4466,4464
1991-01,4307,4308
1991-02,3945,3938
1991-03,4295,4305
1991-04,4286,4286
1991-05,4510,4505
1991-06,4482,4499
1991-07,4597,4601
1991-08,4643,4660
1991-09,4515,4518
1991-10,4721,4734
1991-11,4867,4866
1991-12,5171,5169
1992-01,5103,5093
1992-02,4868,4868
1992-03,5031,5062
1992-04,4996,5005
1992-05,5234,5241
1992-06,5124,5098
1992-07,5357,5346
1992-08,5378,5363
1992-09,5215,5200
1992-10,5370,5382
1992-11,5398,5406
1992-12,5696,5692
1993-01,5658,5664
1993-02,5007,5013
1993-03,5611,5581
1993-04,5588,5593
1993-05,5757,5787
1993-06,5645,5663
1993-07,5837,5844
1993-08,5857,5845
1993-09,5613,5622
1993-10,5861,5868
1993-11,5801,5791
1993-12,6120,6136
1994-01,6009,5976
1994-02,5600,5612
1994-03,6040,6051
1994-04,5890,5907
1994-05,6089,6086
1994-06,5946,5974
1994-07,6047,6194
1994-08,6119,6123
1994-09,5976,5965
1994-10,6206,6207
1994-11,6174,6189
1994-12,6469,6485
1995-01,6411,6407
1995-02,5878,5877
1995-03,6496,6506
1995-04,6401,6405
1995-05,6515,6532
1995-06,6387,6386
1995-07,6593,6602
1995-08,6621,6616
1995-09,6386,6399
1995-10,6659,6644
1995-11,6715,6746
1995-12,7072,7080
1996-01,6882,6886
1996-02,6627,6632
1996-03,6904,6919
1996-04,6804,6802
1996-05,7077,7088
1996-06,6897,6893
1996-07,7066,7084
1996-08,7046,7048
1996-09,6788,6800
1996-10,7046,7045
1996-11,6932,6925
1996-12,7276,7282
1997-01,7187,7193
1997-02,6648,6651
1997-03,7285,7308
1997-04,7058,7080
1997-05,7332,7335
1997-06,7161,7158
1997-07,7341,7359
1997-08,7314,7320
1997-09,7084,7077
1997-10,7234,7271
1997-11,7181,7173
1997-12,7451,7471
1998-01,7341,7343
1998-02,6435,6447
1998-03,7010,7023
1998-04,6774,6786
1998-05,7150,7137
1998-06,6711,6720
1998-07,6885,6897
1998-08,6853,6853
1998-09,6670,6678
1998-10,6978,6979
1998-11,6791,6810
1998-12,6992,6979
1999-01,6919,6912
1999-02,6339,6336
1999-03,6997,7004
1999-04,6804,6800
1999-05,7016,7028
1999-06,6891,6905
1999-07,7051,7038
1999-08,7003,7005
1999-09,6791,6814
1999-10,7040,7040
1999-11,6884,6896
1999-12,7235,7213
2000-01,7054,7098
2000-02,6828,6820
2000-03,7248,7269
2000-04,7090,7099
2000-05,7254,7269
2000-06,7151,7173
2000-07,7351,7375
2000-08,7379,7417
2000-09,7179,7222
2000-10,7464,7477
2000-11,7297,7304
2000-12,7558,7580
2001-01,7623,7630
2001-02,6849,6850
2001-03,7633,7651
2001-04,7449,7444
2001-05,7754,7749
2001-06,7558,7534
2001-07,7722,7671
2001-08,7698,7679
2001-09,7408,7410
2001-10,7445,7453
2001-11,7145,7157
2001-12,7422,7426
2002-01,7279,7284
2002-02,6615,6612
2002-03,7292,7295
2002-04,7091,7096
2002-05,7386,7398
2002-06,7153,7146
2002-07,7393,7403
2002-08,7428,7439
2002-09,7207,7213
2002-10,7519,7531
2002-11,7326,7340
2002-12,7690,7684
2003-01,7636,7632
2003-02,6994,6983
2003-03,7636,7618
2003-04,5884,5896
2003-05,4782,4773
2003-06,4928,4931
2003-07,5860,5867
2003-08,6187,6190
2003-09,6241,6257
2003-10,6713,6709
2003-11,7003,7002
2003-12,7309,7315
2004-01,7345,7350
2004-02,6735,6746
2004-03,7356,7368
2004-04,7381,7387
2004-05,7746,7744
2004-06,7632,7641
2004-07,7899,7910
2004-08,7930,7920
2004-09,7780,7789
2004-10,8174,8178
2004-11,8046,8048
2004-12,8413,8415
2005-01,8335,8331
2005-02,7501,7509
2005-03,8315,8334
2005-04,8404,8409
2005-05,8718,8713
2005-06,8595,8606
2005-07,8759,8764
2005-08,8692,8708
2005-09,8415,8419
2005-10,8684,8687
2005-11,8661,8663
2005-12,8956,8960
2006-01,8893,8887
2006-02,8013,8030
2006-03,9081,9083
2006-04,8836,8836
2006-05,8977,8985
2006-06,8778,8783
2006-07,9012,9006
2006-08,8991,9001
2006-09,8803,8822
2006-10,9204,9194
2006-11,9005,9017
2006-12,9499,9488
2007-01,9216,9236
2007-02,8333,8328
2007-03,9302,9309
2007-04,9008,9013
2007-05,9282,9279
2007-06,9081,9096
2007-07,9312,9310
2007-08,9321,9322
2007-09,9093,9101
2007-10,9474,9476
2007-11,9254,9261
2007-12,9676,9663
2008-01,9428,9440
2008-02,9046,9058
2008-03,9688,9682
2008-04,9430,9454
2008-05,9794,9796
2008-06,9550,9553
2008-07,9847,9850
2008-08,9825,9848
2008-09,9510,9499
2008-10,9829,9835
2008-11,9596,9597
2008-12,10387,10384
2009-01,10189,10184
2009-02,8810,8805
2009-03,9780,9779
2009-04,9810,9815
2009-05,9846,9865
2009-06,9535,9536
2009-07,10133,10131
2009-08,10252,10243
2009-09,10060,10055
2009-10,10489,10497
2009-11,10336,10325
2009-12,10944,10941
2010-01,10739,10763
2010-02,9811,9806
2010-03,10804,10800
2010-04,10647,10656
2010-05,11079,11072
2010-06,10913,10920
2010-07,11288,11305
2010-08,11185,11183
2010-09,10961,10962
2010-10,11242,11246
2010-11,11188,11184
2010-12,11912,11927
2011-01,12000,12000
2011-02,11007,11006
2011-03,12188,12215
2011-04,12133,12133
2011-05,12499,12495
2011-06,12526,12533
2011-07,12949,12959
2011-08,12855,12853
2011-09,12749,12764
2011-10,13134,13136
2011-11,12961,12962
2011-12,13826,13828
2012-01,13790,13794
2012-02,12451,12452
2012-03,13482,13499
2012-04,13213,13197
2012-05,13494,13496
2012-06,13325,13337
2012-07,13543,13550
2012-08,13688,13693
2012-09,13257,13269
2012-10,13837,13804
2012-11,13786,13807
2012-12,14483,14475
2013-01,14095,14108
2013-02,12967,12972
2013-03,14203,14220
2013-04,13781,13763
2013-05,14218,14233
2013-06,14136,14147
2013-07,14483,14472
2013-08,14800,14813
2013-09,14219,14222
2013-10,14741,14744
2013-11,14747,14758
2013-12,15460,15463
2014-01,15175,15178
2014-02,13375,13389
2014-03,14580,14561
2014-04,14177,14181
2014-05,14465,14468
2014-06,14066,14064
2014-07,14093,14112
2014-08,14179,14177
2014-09,13506,13518
2014-10,14191,14189
2014-11,14011,14020
2014-12,14862,14849
2015-01,14384,14395
2015-02,13249,13242
2015-03,14390,14403
2015-04,14126,14130
2015-05,14519,14523
2015-06,14265,14266
2015-07,14699,14713
2015-08,14814,14792
2015-09,14232,14232
2015-10,14803,14807
2015-11,14365,14364
2015-12,15306,15315
